film_url,keywords
https://swapi.dev/api/films/6/,"showdown,cult figure,vision,hatred,dream sequence,expectant mother,space opera,chancel"
https://swapi.dev/api/films/3/,"spacecraft,sibling relationship,rebel,emperor,space battle,matter of life and death,forest,desert,space opera"
https://swapi.dev/api/films/1/,"empire,galaxy,rebellion,android,hermit,smuggling (contraband),freedom,rebel,rescue mission,space,planet,desert,super power,oppression,space opera,wizard,totalitarianism"
https://swapi.dev/api/films/5/,"army,laser gun,senate,investigation,cult figure,wedding,kendo,space opera,spaceport,teenage rebellion,good becoming evil,alien race,mechanical hand"
https://swapi.dev/api/films/2/,"rebellion,android,spacecraft,asteroid,rebel,space battle,snowstorm,space colony,swamp,space opera,artic"
https://swapi.dev/api/films/4/,"galaxy,senate,taskmaster,prophecy,queen,apprentice,taxes,space opera"
