id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
11,Star Wars,8.204,19155,Released,1977-05-25,775398007,121,FALSE,/zqkmTXzjkAgXmEWLRsY4UpTWCeo.jpg,11000000,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,88.559,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"A long time ago in a galaxy far, far away...","Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox",United States of America,English,"empire, galaxy, rebellion, android, hermit, smuggling (contraband), freedom, rebel, rescue mission, space, planet, desert, super power, oppression, space opera, wizard, totalitarianism"
1891,The Empire Strikes Back,8.4,15773,Released,1980-05-20,538400000,124,FALSE,/aJCtkxLLzkk1pECehVjKHA2lBgw.jpg,18000000,http://www.starwars.com/films/star-wars-episode-v-the-empire-strikes-back,tt0080684,en,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",35.265,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,The Adventure Continues...,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,"rebellion, android, spacecraft, asteroid, rebel, space battle, snowstorm, space colony, swamp, space opera, artic"
1892,Return of the Jedi,7.892,14591,Released,1983-05-25,572700000,132,FALSE,/psYeKwKclG4XaIop5suj1J0Kg2C.jpg,32350000,http://www.starwars.com/films/star-wars-episode-vi-return-of-the-jedi,tt0086190,en,Return of the Jedi,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",40.104,/jQYlydvHm3kUix1f8prMucrplhm.jpg,The Empire Falls...,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,"spacecraft, sibling relationship, rebel, emperor, space battle, matter of life and death, forest, desert, space opera"
1893,Star Wars: Episode I - The Phantom Menace,6.5,13550,Released,1999-05-19,924317558,136,FALSE,/wDe8LzwuvHYYiuwyNfxdYQq8ti4.jpg,115000000,http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace,tt0120915,en,Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",46.845,/6wkfovpn7Eq8dYNKaG5PY3q2oq6.jpg,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,"galaxy, senate, taskmaster, prophecy, queen, apprentice, taxes, space opera"
1895,Star Wars: Episode III - Revenge of the Sith,7.411,12753,Released,2005-05-17,850000000,140,FALSE,/5vDuLrjJXFS9PTF7Q1xzobmYKR9.jpg,113000000,http://www.starwars.com/films/star-wars-episode-iii-revenge-of-the-sith,tt0121766,en,Star Wars: Episode III - Revenge of the Sith,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,41.215,/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,The saga is complete.,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,"showdown, cult figure, vision, hatred, dream sequence, expectant mother, space opera, chancel"
1894,Star Wars: Episode II - Attack of the Clones,6.6,12288,Released,2002-05-15,649398328,142,FALSE,/abwxHfymXGAbbH3lo9PDEJEfvtW.jpg,120000000,,tt0121765,en,Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator Padm̩ Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",42.55,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,A Jedi Shall Not Know Anger. Nor Hatred. Nor Love.,"Adventure, Action, Science Fiction",Lucasfilm Ltd.,United States of America,English,"army, laser gun, senate, investigation, cult figure, wedding, kendo, space opera, spaceport, teenage rebellion, good becoming evil, alien race, mechanical hand"
